,,,,,,,
Class_1,Class_2,duration,distance,cost,dur/dist,cost/dist,cost/dur
Road,Residential,430.295,1492.019,1492.019,0.208375302663438,0.722527360774818,3.46743280772493
Pedestrian Pathway,Trail,56.596,276,69.959,0.205057971014493,0.253474637681159,1.2361120927274
Road,Residential,320.492,1376,661.876,0.232915697674419,0.481014534883721,2.06518727456536
Road,Residential,96.441,449,258.173,0.214790645879733,0.574995545657016,2.67700459348203
Pedestrian Pathway,Trail,67.918,335,83.317,0.202740298507463,0.248707462686567,1.2267292912041
Shared bikeway along road,Residential,102.432,480,130.031,0.2134,0.270897916666667,0.270897916666667
Shared bikeway along road,Residential,61.475,232,79.137,0.264978448275862,0.34110775862069,1.28730378202521
Road,Residential,92.927,430,166.465,0.216109302325581,0.387127906976744,0.387127906976744
Road,Bus loop ,96.441,449,258.173,0.214790645879733,0.574995545657016,2.67700459348203
